ID, FILENAME, URI,TITLE,AUTHOR,UPLOAD_DATE,DURATION,TOPIC1,TOPIC2,TOPIC3
1,911Mothers_2010W.stm,/talks/aicha_el_wafi_phyllis_rodriguez_the_mothers_who_found_forgiveness_friendship,"The mothers who found forgiveness, friendship",Aicha el-Wafi + Phyllis Rodriguez,2011-05-02,9M54S,culture,global issues,parenting
2,AalaElKhani_2016X.stm,/talks/aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone,What it's like to be a parent in a war zone,Aala El-Khani,2017-02-10,14M16S,communication,community,family
3,AaronHuey_2010X.stm,/talks/aaron_huey_america_s_native_prisoners_of_war,America's native prisoners of war,Aaron Huey,2010-11-10,15M27S,TEDx,culture,history
4,AaronKoblin_2011.stm,/talks/aaron_koblin_visualizing_ourselves_with_crowd_sourced_data,Visualizing ourselves ... with crowd-sourced data,Aaron Koblin,2011-05-23,18M18S,collaboration,data,design
5,AaronOConnell_2011.stm,/talks/aaron_o_connell_making_sense_of_a_visible_quantum_object,Making sense of a visible quantum object,Aaron O'Connell,2011-06-02,7M51S,philosophy,physics,science
6,AbeDavis_2015.stm,/talks/abe_davis_new_video_technology_that_reveals_an_object_s_hidden_properties,New video technology that reveals an object's hidden properties,Abe Davis,2015-05-05,17M57S,computers,software,technology
7,AbhaDawesar_2013G.stm,/talks/abha_dawesar_life_in_the_digital_now,"Life in the ""digital now""",Abha Dawesar,2013-10-30,12M1S,communication,culture,entertainment
8,AbigailMarsh_2016T.stm,/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others,Why some people are more altruistic than others,Abigail Marsh,2016-09-16,12M21S,brain,communication,cognitive science
9,AbigailWashburn_2012U.stm,/talks/abigail_washburn_building_us_china_relations_by_banjo,Building US-China relations ... by banjo,Abigail Washburn,2012-04-13,6M34S,Asia,TED Fellows,china
10,AbrahamVerghese_2011G.stm,/talks/abraham_verghese_a_doctor_s_touch,A doctor's touch,Abraham Verghese,2011-09-26,18M32S,communication,culture,health
11,AchenyoIdachaba_2015W.stm,/talks/achenyo_idachaba_how_i_turned_a_deadly_plant_into_a_thriving_business,How I turned a deadly plant into a thriving business,Achenyo Idachaba,2016-01-21,7M17S,Africa,agriculture,business
12,AdamDavidson_2012S.stm,/talks/adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff,What we learned from teetering on the fiscal cliff,Adam Davidson,2012-12-20,19M48S,economics,global issues,politics
13,AdamdelaZerda_2016X.stm,/talks/adam_de_la_zerda_we_can_start_winning_the_war_against_cancer,We can start winning the war against cancer,Adam de la Zerda,2016-10-05,12M42S,cancer,medicine,medical imaging
14,AdamDriver_2015P.stm,/talks/adam_driver_my_journey_from_marine_to_actor,My journey from Marine to actor,Adam Driver,2016-05-27,18M2S,collaboration,communication,entertainment
15,AdamFoss_2016.stm,/talks/adam_foss_a_prosecutor_s_vision_for_a_better_justice_system,A prosecutor's vision for a better justice system,Adam Foss,2020-11-17,15M57S,compassion,decision-making,education
16,AdamGalinsky_2016X.stm,/talks/adam_galinsky_how_to_speak_up_for_yourself,How to speak up for yourself,Adam Galinsky,2016-11-23,15M8S,motivation,business,communication
17,AdamGarone_2011X.stm,/talks/adam_garone_healthier_men_one_moustache_at_a_time,"Healthier men, one moustache at a time",Adam Garone,2012-11-01,16M41S,TEDx,culture,philanthropy
18,AdamGrant_2016.stm,/talks/adam_grant_the_surprising_habits_of_original_thinkers,The surprising habits of original thinkers,Adam Grant,2016-04-01,15M25S,business,creativity,curiosity
19,AdamGrant_2016S.stm,/talks/adam_grant_are_you_a_giver_or_a_taker,Are you a giver or a taker?,Adam Grant,2017-01-03,13M28S,anthropology,behavioral economics,business
20,AdamGrosser_2007.stm,/talks/adam_grosser_a_mobile_fridge_for_vaccines,A mobile fridge for vaccines,Adam Grosser,2008-06-23,3M31S,Vaccines,design,food
21,AdamOckelford_2013X.stm,/talks/derek_paravicini_and_adam_ockelford_in_the_key_of_genius,In the key of genius,Derek Paravicini and Adam Ockelford,2013-08-09,19M38S,Autism spectrum disorder,TEDx,disability
22,AdamOstrow_2011G.stm,/talks/adam_ostrow_after_your_final_status_update,After your final status update,Adam Ostrow,2011-08-01,5M29S,consciousness,culture,self
23,AdamSadowsky_2010X.stm,/talks/adam_sadowsky_how_to_engineer_a_viral_music_video,How to engineer a viral music video,Adam Sadowsky,2010-06-04,14M28S,TEDx,engineering,entertainment
24,AdamSavage_2008P.stm,/talks/adam_savage_my_obsession_with_objects_and_the_stories_they_tell,My obsession with objects and the stories they tell,Adam Savage,2009-03-18,15M38S,animals,art,birds
25,AdamSavage_2016.stm,/talks/adam_savage_my_love_letter_to_cosplay,My love letter to cosplay,Adam Savage,2016-07-15,13M7S,art,beauty,communication
26,AdamSpencer_2013.stm,/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers,Why I fell in love with monster prime numbers,Adam Spencer,2013-09-03,17M17S,humor,math,
27,AditiGupta_2015X.stm,/talks/aditi_gupta_a_taboo_free_way_to_talk_about_periods,A taboo-free way to talk about periods,Aditi Gupta,2016-04-21,11M10S,activism,communication,books
28,AditiShankardass_2009I.stm,/talks/aditi_shankardass_a_second_opinion_on_developmental_disorders,A second opinion on developmental disorders,Aditi Shankardass,2010-06-24,9M1S,medicine,science,technology
29,AdoraSvitak_2010.stm,/talks/adora_svitak_what_adults_can_learn_from_kids,What adults can learn from kids,Adora Svitak,2010-04-01,8M12S,creativity,education,kids
30,AfraRaymond_2012X.stm,/talks/afra_raymond_three_myths_about_corruption,Three myths about corruption,Afra Raymond,2013-02-20,18M9S,TEDx,corruption,crime
31,AimeeMullins_1998.stm,/talks/aimee_mullins_changing_my_legs_and_my_mindset,Changing my legs - and my mindset,Aimee Mullins,2009-01-28,22M25S,beauty,body language,design
32,AimeeMullins_2009U.stm,/talks/aimee_mullins_my_12_pairs_of_legs,My 12 pairs of legs,Aimee Mullins,2009-03-11,9M58S,activism,design,fashion
33,AjitNarayanan_2013.stm,/talks/ajit_narayanan_a_word_game_to_communicate_in_any_language,A word game to communicate in any language,Ajit Narayanan,2014-03-10,15M43S,disability,language,technology
34,AJJacobs_2007P.stm,/talks/william_mcdonough_cradle_to_cradle_design,Cradle to cradle design,William McDonough,2007-04-06,20M5S,architecture,business,china
35,AJJacobs_2011P.stm,/talks/a_j_jacobs_how_healthy_living_nearly_killed_me,How healthy living nearly killed me,A.J. Jacobs,2012-01-03,8M42S,culture,entertainment,health
36,AJJacobs_2014A.stm,/talks/a_j_jacobs_the_world_s_largest_family_reunion_we_re_all_invited,The world's largest family reunion ... we're all invited!,A.J. Jacobs,2014-06-13,9M45S,entertainment,family,genetics
37,AlaaMurabit_2015W.stm,/talks/alaa_murabit_what_my_religion_really_says_about_women,What my religion really says about women,Alaa Murabit,2015-07-21,12M13S,gender,religion,women
38,AlaindeBotton_2009G.stm,/talks/alain_de_botton_a_kinder_gentler_philosophy_of_success,"A kinder, gentler philosophy of success",Alain de Botton,2009-07-28,16M51S,culture,philosophy,success
39,AlaindeBotton_2011G.stm,/talks/alain_de_botton_atheism_2_0,Atheism 2.0,Alain de Botton,2012-01-17,19M20S,atheism,culture,philosophy
40,AlanEustace_2015.stm,/talks/alan_eustace_i_leapt_from_the_stratosphere_here_s_how_i_did_it,I leapt from the stratosphere. Here's how I did it,Alan Eustace,2015-09-04,14M28S,astronomy,exploration,innovation
41,AlanKay_2007.stm,/talks/alan_kay_a_powerful_idea_about_ideas,A powerful idea about ideas,Alan Kay,2008-03-04,20M37S,collaboration,computers,design
42,AlannaShaikh_2012G.stm,/talks/alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s,How I'm preparing to get Alzheimer's,Alanna Shaikh,2012-07-03,6M26S,TED Fellows,aging,disease
43,AlanRussell_2006.stm,/talks/alan_russell_the_potential_of_regenerative_medicine,The potential of regenerative medicine,Alan Russell,2007-07-04,19M25S,cancer,design,health
44,AlanSiegel_2010.stm,/talks/alan_siegel_let_s_simplify_legal_jargon,Let's simplify legal jargon!,Alan Siegel,2010-03-24,4M26S,business,language,law
45,AlanSmith_2016X.stm,/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic,3 ways to spot a bad statistic,Mona Chalabi,2017-03-24,11M45S,communication,data,journalism
46,AlastairParvin_2013.stm,/talks/alastair_parvin_architecture_for_the_people_by_the_people,Architecture for the people by the people,Alastair Parvin,2013-05-23,13M11S,architecture,design,infrastructure
47,AlbertoCairo_2011X.stm,/talks/alberto_cairo_there_are_no_scraps_of_men,There are no scraps of men,Alberto Cairo,2011-12-23,19M2S,TEDx,disability,global issues
48,AlecSoth_2015.stm,/talks/alec_soth_and_stacey_baker_this_is_what_enduring_love_looks_like,This is what enduring love looks like,Alec Soth and Stacey Baker,2015-07-15,10M18S,culture,love,photography
49,AlejandroAlvarado_2016X.stm,/talks/alejandro_sanchez_alvarado_to_solve_old_problems_study_new_species,"To solve old problems, study new species",Alejandro Sánchez Alvarado,2017-01-12,12M39S,animals,biodiversity,beauty
50,AlejandroAravena_2014G.stm,/talks/alejandro_aravena_my_architectural_philosophy_bring_the_community_into_the_process,My architectural philosophy? Bring the community into the process,Alejandro Aravena,2014-11-06,15M49S,architecture,cities,design
51,AlessandraOrofino_2014G.stm,/talks/enrique_penalosa_why_buses_represent_democracy_in_action,Why buses represent democracy in action,Enrique Peñalosa,2013-12-06,14M17S,cities,design,sustainability
52,AlessandroAcquisti_2013G.stm,/talks/alessandro_acquisti_what_will_a_future_without_secrets_look_like,What will a future without secrets look like?,Alessandro Acquisti,2013-10-17,15M,business,policy,social media
53,AlexaMeade_2013G.stm,/talks/alexa_meade_your_body_is_my_canvas,Your body is my canvas,Alexa Meade,2013-09-06,7M4S,creativity,design,art
54,AlexanderBetts_2016.stm,/talks/alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it,Our refugee system is failing. Here's how we can fix it,Alexander Betts,2016-03-03,18M9S,economics,Europe,fear
55,AlexanderBetts_2016T.stm,/talks/alexander_betts_why_brexit_happened_and_what_to_do_next,Why Brexit happened -- and what to do next,Alexander Betts,2016-07-06,17M22S,global issues,collaboration,communication
56,AlexanderTsiaras_2010P.stm,/talks/alexander_tsiaras_conception_to_birth_visualized,Conception to birth -- visualized,Alexander Tsiaras,2011-11-14,9M37S,design,medical research,science
57,AlexisOhanian_2009I.stm,/talks/alexis_ohanian_how_to_make_a_splash_in_social_media,How to make a splash in social media,Alexis Ohanian,2009-12-15,4M26S,Internet,animals,business
58,AlexKipman_2016.stm,/talks/alex_kipman_a_futuristic_vision_of_the_age_of_holograms,A futuristic vision of the age of holograms,Alex Kipman,2016-03-25,19M5S,communication,computers,engineering
59,AlexLaskey_2013.stm,/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill,How behavioral science can lower your energy bill,Alex Laskey,2013-06-04,8M11S,behavioral economics,energy,psychology
60,AlexSteffen_2005G.stm,/talks/alex_steffen_the_route_to_a_sustainable_future,The route to a sustainable future,Alex Steffen,2007-04-05,17M34S,business,cities,collaboration
61,AlexSteffen_2011G.stm,/talks/alex_steffen_the_shareable_future_of_cities,The shareable future of cities,Alex Steffen,2011-08-08,10M13S,architecture,cities,collaboration
62,AlexTabarrok_2009.stm,/talks/alex_tabarrok_how_ideas_trump_crises,How ideas trump crises,Alex Tabarrok,2009-04-27,14M33S,business,china,cities
63,AlexWissnerGross_2013X.stm,/talks/alex_wissner_gross_a_new_equation_for_intelligence,A new equation for intelligence,Alex Wissner-Gross,2014-02-06,11M48S,TEDx,physics,science
64,AlGore_2006.stm,/talks/al_gore_averting_the_climate_crisis,Averting the climate crisis,Al Gore,2006-06-27,16M17S,climate change,culture,environment
65,AlGore_2008.stm,/talks/al_gore_new_thinking_on_the_climate_crisis,New thinking on the climate crisis,Al Gore,2008-04-08,27M54S,activism,climate change,global issues
66,AlGore_2016.stm,/talks/scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,"How Amazon, Apple, Facebook and Google manipulate our emotions",Scott Galloway,2017-11-21,19M5S,culture,business,economics
67,AliCarrChellman_2010X.stm,/talks/emily_levine_a_theory_of_everything,A theory of everything,Emily Levine,2009-04-09,22M52S,cognitive science,comedy,entertainment
68,AliceBowsLarkin_2015G.stm,/talks/alice_bows_larkin_climate_change_is_happening_here_s_how_we_adapt,Climate change is happening. Here's how we adapt,Alice Bows-Larkin,2015-10-05,14M23S,climate change,energy,policy
69,AliceDreger_2011X.stm,/talks/alice_dreger_is_anatomy_destiny,Is anatomy destiny?,Alice Dreger,2011-06-10,18M48S,TEDx,culture,gender
70,AliceGoffman_2015.stm,/talks/alice_goffman_how_we_re_priming_some_kids_for_college_and_others_for_prison,How we're priming some kids for college — and others for prison,Alice Goffman,2015-05-01,16M4S,crime,culture,prison
71,AliceRawsthorn_2016.stm,/talks/alice_rawsthorn_pirates_nurses_and_other_rebel_designers,"Pirates, nurses and other rebel designers",Alice Rawsthorn,2016-05-03,11M44S,communication,innovation,design
72,AliciaGarzaandPatrisseCullorsandOpalTometi_2016W.stm,/talks/alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter,An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",2016-11-29,16M5S,activism,collaboration,community
73,AlisaMiller_2008.stm,/talks/euvin_naidoo_why_invest_in_africa,Why invest in Africa,Euvin Naidoo,2007-07-31,19M1S,Africa,business,entrepreneur
74,AlisonGopnik_2011G.stm,/talks/alison_gopnik_what_do_babies_think,What do babies think?,Alison Gopnik,2011-10-10,18M29S,brain,culture,education
75,AlisonJackson_2005G.stm,/talks/vs_ramachandran_3_clues_to_understanding_your_brain,3 clues to understanding your brain,VS Ramachandran,2007-10-21,23M34S,brain,consciousness,culture
76,AlisonKilling_2014U.stm,/talks/alison_killing_there_s_a_better_way_to_die_and_architecture_can_help,"There’s a better way to die, and architecture can help",Alison Killing,2015-03-30,4M39S,TED Fellows,architecture,cities
77,AlisonKilling_2014X.stm,/talks/alison_killing_what_happens_when_a_city_runs_out_of_room_for_its_dead,What happens when a city runs out of room for its dead,Alison Killing,2015-12-16,8M49S,TED Fellows,aging,cities
78,AlixGenerous_2015W.stm,/talks/alix_generous_how_i_learned_to_communicate_my_inner_life_with_asperger_s,How I learned to communicate my inner life with Asperger's,Alix Generous,2015-08-17,10M26S,Autism spectrum disorder,communication,empathy
79,AllanAdams_2014.stm,/talks/allan_adams_the_discovery_that_could_rewrite_physics,The discovery that could rewrite physics,Allan Adams,2014-04-01,4M42S,astronomy,Big Bang,physics
80,AllanAdams_2016.stm,/talks/allan_adams_what_the_discovery_of_gravitational_waves_means,What the discovery of gravitational waves means,Allan Adams,2016-02-18,10M58S,astronomy,curiosity,exploration
81,AllanJones_2011G.stm,/talks/allan_jones_a_map_of_the_brain,A map of the brain,Allan Jones,2011-11-10,15M21S,brain,disease,science
82,AllanSavory_2013.stm,/talks/allan_savory_how_to_fight_desertification_and_reverse_climate_change,How to fight desertification and reverse climate change,Allan Savory,2013-03-04,22M19S,agriculture,climate change,sustainability
83,AllisonHunt_2007.stm,/talks/allison_hunt_how_to_get_a_new_hip,How to get (a new) hip,Allison Hunt,2007-07-24,4M48S,culture,health care,marketing
84,AlSeckel_2004.stm,/talks/ray_kurzweil_the_accelerating_power_of_technology,The accelerating power of technology,Ray Kurzweil,2006-11-14,22M56S,biotech,business,culture
85,AlVernacchio_2012.stm,/talks/al_vernacchio_sex_needs_a_new_metaphor_here_s_one,Sex needs a new metaphor. Here's one ...,Al Vernacchio,2013-07-12,8M21S,culture,food,sex
86,AlwarBalasubramaniam_2009I.stm,/talks/alwar_balasubramaniam_art_of_substance_and_absence,Art of substance and absence,Alwar Balasubramaniam,2010-09-08,16M51S,art,design,entertainment
87,AlysonMcGregor_2014X.stm,/talks/alyson_mcgregor_why_medicine_often_has_dangerous_side_effects_for_women,Why medicine often has dangerous side effects for women,Alyson McGregor,2015-10-14,15M29S,TEDx,disease,health
88,AlyssaMonks_2015X.stm,/talks/alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection,How loss helped one artist find beauty in imperfection,Alyssa Monks,2016-10-26,13M8S,art,death,aging
89,AmandaBennett_2013P.stm,/talks/amanda_bennett_we_need_a_heroic_narrative_for_death,We need a heroic narrative for death,Amanda Bennett,2013-10-15,15M24S,culture,death,health care
90,AmandaBurden_2014.stm,/talks/amanda_burden_how_public_spaces_make_cities_work,How public spaces make cities work,Amanda Burden,2014-04-07,18M28S,architecture,cities,
91,AmandaPalmer_2013.stm,/talks/amanda_palmer_the_art_of_asking,The art of asking,Amanda Palmer,2013-03-01,13M47S,business,entertainment,music
92,AmberCase_2010W.stm,/talks/amber_case_we_are_all_cyborgs_now,We are all cyborgs now,Amber Case,2011-01-11,7M53S,anthropology,computers,culture
93,AmeenahGuribFakim_2014G.stm,/talks/ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets,Humble plants that hide surprising secrets,Ameenah Gurib-Fakim,2014-11-04,14M12S,biodiversity,biology,nature
94,AmeeraHarouda_2016.stm,/talks/ameera_harouda_why_i_put_myself_in_danger_to_tell_the_stories_of_gaza,Why I put myself in danger to tell the stories of Gaza,Ameera Harouda,2016-04-27,8M38S,communication,journalism,fear
95,AmiKlin_2011X.stm,/talks/ami_klin_a_new_way_to_diagnose_autism,A new way to diagnose autism,Ami Klin,2012-06-09,19M37S,Autism spectrum disorder,TEDx,cognitive science
96,AmitSood_2011.stm,/talks/amit_sood_building_a_museum_of_museums_on_the_web,Building a museum of museums on the web,Amit Sood,2011-05-12,5M35S,art,design,technology
97,AmitSood_2016.stm,/talks/amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable,Every piece of art you've ever wanted to see -- up close and searchable,Amit Sood,2016-06-07,15M,beauty,Big Bang,collaboration
98,AmoryLovins_2005.stm,/talks/amory_lovins_winning_the_oil_endgame,Winning the oil endgame,Amory Lovins,2007-12-11,19M44S,business,economics,energy
99,AmoryLovins_2012S.stm,/talks/amory_lovins_a_40_year_plan_for_energy,A 40-year plan for energy,Amory Lovins,2012-05-01,27M10S,energy,science,solar energy
100,AmosWinter_2012X.stm,/talks/amos_winter_the_cheap_all_terrain_wheelchair,The cheap all-terrain wheelchair,Amos Winter,2012-11-20,11M14S,TEDx,culture,design
101,AmyAdeleHasinoff_2016X.stm,/talks/amy_adele_hasinoff_how_to_practice_safe_sexting,How to practice safe sexting,Amy Adele Hasinoff,2017-02-14,14M25S,sex,media,technology
102,AmyCuddy_2012G.stm,/talks/amy_cuddy_your_body_language_may_shape_who_you_are,Your body language may shape who you are,Amy Cuddy,2012-10-01,21M2S,body language,brain,business
